time,close,open,high,low,VWAP,Volume,Volume MA
2019-01-10T16:00:00-05:00,3586.29,3585.07,3593.98,3574.65,3743.125589,1029.946687,2746.74457
2019-01-10T17:00:00-05:00,3583.43,3586.29,3590.46,3574.64,3739.768692,1215.705903,2762.479316
2019-01-10T18:00:00-05:00,3585.88,3583.43,3597.72,3577.05,3736.279389,1355.737304,2774.697127
2019-01-10T19:00:00-05:00,3607.72,3585.88,3617.04,3557.52,3594.093333,2396.186279,2840.733647
2019-01-10T20:00:00-05:00,3592.95,3608.36,3609.09,3586.63,3594.822903,1248.320598,2829.900477
2019-01-10T21:00:00-05:00,3579.76,3591.17,3596.74,3572.76,3591.909002,1203.732473,2335.457095
2019-01-10T22:00:00-05:00,3583.09,3579.78,3589.79,3576.76,3590.23974,1151.795595,2186.412081
2019-01-10T23:00:00-05:00,3562,3583.05,3583.12,3546.36,3582.636439,2425.338605,2189.110156
2019-01-11T00:00:00-05:00,3573.49,3562,3575.78,3560,3580.869818,1339.354444,2045.795306
2019-01-11T01:00:00-05:00,3584.48,3573.47,3590,3570.55,3580.936771,883.608776,2011.011242
2019-01-11T02:00:00-05:00,3595.47,3584.76,3597,3578.95,3581.838514,1112.017007,1968.53568
2019-01-11T03:00:00-05:00,3605.61,3595.47,3635,3590.82,3586.358317,2203.902177,2006.747934
2019-01-11T04:00:00-05:00,3591.3,3606.49,3612,3587.43,3587.401791,1532.501414,1981.565752
2019-01-11T05:00:00-05:00,3586.06,3589.98,3597.64,3562,3586.841956,1755.507344,1973.268025
2019-01-11T06:00:00-05:00,3594,3586.45,3596.99,3580.02,3587.077899,1249.106564,1942.639871
2019-01-11T07:00:00-05:00,3585.4,3593.57,3594.18,3571.18,3586.846822,1311.359197,1560.692748
2019-01-11T08:00:00-05:00,3569.67,3584.97,3590.94,3569.16,3586.254239,1214.857829,1529.323016
2019-01-11T09:00:00-05:00,3598.72,3570.12,3612,3569.17,3586.849197,1940.375892,1570.440051
2019-01-11T10:00:00-05:00,3585.51,3599.79,3616.13,3585.5,3587.336919,1337.323926,1476.005239
2019-01-11T11:00:00-05:00,3601.05,3586.49,3620.24,3582.5,3588.115855,1439.993298,1467.333566
2019-01-11T12:00:00-05:00,3608.9,3601.22,3615.82,3599.85,3588.93969,1101.792551,1470.925859
2019-01-11T13:00:00-05:00,3605.88,3608.93,3612.67,3594,3589.535492,1092.006884,1464.740908
2019-01-11T14:00:00-05:00,3606.15,3605.88,3613,3602,3590.062451,866.679655,1440.288025
2019-01-11T15:00:00-05:00,3610.7,3606.36,3624.82,3601.58,3590.899879,1123.724109,1376.664917
2019-01-11T16:00:00-05:00,3602.52,3611.51,3658,3594.06,3592.629107,2024.504846,1415.474129
2019-01-11T17:00:00-05:00,3578.85,3602.52,3606.88,3571.43,3592.3576,1307.059206,1420.640466
2019-01-11T18:00:00-05:00,3601.31,3578.85,3615,3465,3588.129963,5077.606064,1616.930989
2019-01-11T19:00:00-05:00,3601.46,3601.31,3618.19,3588.01,3602.553333,1929.34205,1592.131162
2019-01-11T20:00:00-05:00,3590.17,3601.01,3601.53,3533,3589.256002,1787.064551,1614.516667
2019-01-11T21:00:00-05:00,3594.88,3590.17,3596.55,3579,3589.410774,785.189702,1609.595713
2019-01-11T22:00:00-05:00,3601.15,3594,3603.19,3589.33,3590.609663,741.299788,1591.059852
2019-01-11T23:00:00-05:00,3590.35,3600.64,3601.14,3589.47,3590.901023,555.013774,1508.615432
2019-01-12T00:00:00-05:00,3587.72,3591.52,3598.77,3586.42,3590.905823,433.6271,1453.671717
2019-01-12T01:00:00-05:00,3571.74,3588.21,3592.46,3567.31,3589.175621,898.063944,1410.799547
2019-01-12T02:00:00-05:00,3582.38,3572.74,3583,3571.37,3588.232527,721.767199,1384.432578
2019-01-12T03:00:00-05:00,3574.06,3582.09,3582.81,3571.2,3587.412598,565.230882,1347.126163
2019-01-12T04:00:00-05:00,3578.3,3574.8,3579.78,3559.5,3585.999092,883.056768,1330.536109
2019-01-12T05:00:00-05:00,3575.89,3578,3585.71,3572.93,3585.516967,610.818668,1264.058248
2019-01-12T06:00:00-05:00,3571.16,3575.91,3578.79,3569.32,3584.898986,518.629268,1223.123515
2019-01-12T07:00:00-05:00,3590.36,3571.89,3605,3530,3583.186263,2214.429136,1261.845307
2019-01-12T08:00:00-05:00,3587.73,3590.38,3593.18,3574,3583.340206,1194.251472,1266.468253
2019-01-12T09:00:00-05:00,3592.5,3588,3594.82,3582.61,3583.72019,840.431086,1253.889463
2019-01-12T10:00:00-05:00,3591.11,3592.25,3594,3584,3584.003713,730.155121,1247.063237
2019-01-12T11:00:00-05:00,3589.9,3591.11,3599,3587.01,3584.485888,992.706557,1240.512359
2019-01-12T12:00:00-05:00,3592,3590,3600,3572.19,3584.722853,1163.453707,1197.459802
2019-01-12T13:00:00-05:00,3591.92,3592.02,3599.86,3588.7,3584.997712,568.264349,1160.520059
2019-01-12T14:00:00-05:00,3593.74,3591.92,3596,3587,3585.16866,437.944824,928.5369973
2019-01-12T15:00:00-05:00,3594.62,3592.79,3600.62,3585,3585.4294,606.483465,862.3940681
2019-01-12T16:00:00-05:00,3591.3,3594.6,3603.55,3588.43,3585.690824,573.886906,801.7351858
2019-01-12T17:00:00-05:00,3580.01,3590.72,3612.39,3571.14,3585.801342,1067.24493,815.8379472
2019-01-12T18:00:00-05:00,3583.13,3580.43,3590.71,3563.01,3585.43337,1181.573107,837.8516132
2019-01-12T19:00:00-05:00,3570.47,3584.1,3587.01,3566.19,3574.556667,885.225956,854.3622223
2019-01-12T20:00:00-05:00,3569.04,3570.67,3583.58,3564.41,3573.464434,862.431207,875.8024276
2019-01-12T21:00:00-05:00,3588.24,3568.48,3588.24,3568,3575.461397,578.587992,859.82863
2019-01-12T22:00:00-05:00,3593.24,3588.24,3595,3585.12,3578.168869,486.308453,848.0556927
2019-01-12T23:00:00-05:00,3586.49,3593.27,3598.88,3585.07,3580.008907,510.48798,845.3185476
2019-01-13T00:00:00-05:00,3582.26,3587.21,3591.56,3581.62,3580.487152,341.071476,818.219283
2019-01-13T01:00:00-05:00,3580.94,3582.28,3592.71,3575.84,3580.847692,570.494181,816.2030587
2019-01-13T02:00:00-05:00,3583.68,3581.93,3586.22,3579.47,3581.014995,336.028279,807.0730092
2019-01-13T03:00:00-05:00,3575.1,3583.68,3587.85,3574,3580.888434,303.638042,711.5334545
2019-01-13T04:00:00-05:00,3586,3576.32,3586.97,3571.7,3580.938632,395.895963,671.6156791
2019-01-13T05:00:00-05:00,3584.09,3586,3588.36,3580.05,3581.209866,483.44536,653.7663928
2019-01-13T06:00:00-05:00,3589.38,3584.91,3590.02,3583.88,3581.805974,576.042209,646.0607472
2019-01-13T07:00:00-05:00,3583.36,3589.28,3611.1,3560.26,3582.401064,1503.317532,671.5912959
2019-01-13T08:00:00-05:00,3590.48,3583.74,3593.08,3583.36,3582.851869,576.846502,642.2609357
2019-01-13T09:00:00-05:00,3572.18,3588.6,3590.47,3570,3582.411579,761.637302,651.9295833
2019-01-13T10:00:00-05:00,3575.53,3570.55,3577.01,3566.12,3581.708821,730.582892,666.5614867
2019-01-13T11:00:00-05:00,3462.18,3576.32,3576.33,3441.3,3543.621125,7490.318082,1010.753218
2019-01-13T12:00:00-05:00,3479.01,3464.91,3490.81,3444.28,3535.603418,2170.826603,1090.600202
2019-01-13T13:00:00-05:00,3462.75,3478.56,3486.13,3449.2,3530.127972,1671.060564,1120.790984
2019-01-13T14:00:00-05:00,3465.82,3463,3474.91,3457.18,3526.143414,1406.087608,1132.016709
2019-01-13T15:00:00-05:00,3462.32,3465.03,3475.61,3457.63,3523.358488,1083.886426,1141.949733
2019-01-13T16:00:00-05:00,3479.63,3462.85,3497.98,3454,3520.907133,1330.696549,1165.363
2019-01-13T17:00:00-05:00,3470.51,3480.14,3482.48,3465,3519.75157,614.856849,1167.176443
2019-01-13T18:00:00-05:00,3476.81,3469.83,3477.56,3457.2,3518.415751,715.983447,1178.660192
2019-01-13T19:00:00-05:00,3483.05,3477.56,3483.07,3467.02,3477.713333,707.905444,1188.531066
2019-01-13T20:00:00-05:00,3487.98,3482.47,3493.78,3479.75,3483.326149,1033.687887,1223.161886
2019-01-13T21:00:00-05:00,3496,3488.62,3499.9,3486.05,3487.394788,1075.489977,1248.411676
2019-01-13T22:00:00-05:00,3489.45,3497.41,3497.41,3487.51,3488.102784,594.679479,1261.344236
2019-01-13T23:00:00-05:00,3498.31,3489.43,3499.65,3487.52,3489.142902,589.75883,1275.650275
2019-01-14T00:00:00-05:00,3504.72,3498.31,3514.8,3495.41,3492.652182,1139.395352,1312.825245
2019-01-14T01:00:00-05:00,3518.18,3503.22,3522.15,3500.08,3496.257093,1076.665498,1342.486252
2019-01-14T02:00:00-05:00,3511.83,3518.82,3527.83,3509,3499.225127,1085.856926,1367.976987
2019-01-14T03:00:00-05:00,3501.85,3511.73,3511.89,3496,3499.744149,1082.261649,1346.924193
2019-01-14T04:00:00-05:00,3505.02,3501.91,3511.21,3495.01,3500.124722,881.120897,1362.137913
2019-01-14T05:00:00-05:00,3502.75,3505.3,3540,3498.55,3502.013789,1489.478154,1398.529956
2019-01-14T06:00:00-05:00,3488.28,3503.8,3505.38,3485.02,3501.133975,1148.399636,1419.420793
2019-01-14T07:00:00-05:00,3506.25,3488.8,3509,3487,3501.092671,1434.914743,1116.650626
2019-01-14T08:00:00-05:00,3496.8,3505.78,3514.19,3495.63,3501.17715,1094.605957,1062.839594
2019-01-14T09:00:00-05:00,3497,3496.36,3500,3487,3500.77527,949.617001,1026.767415
2019-01-14T10:00:00-05:00,3630.98,3497,3647,3495,3528.649969,6878.355908,1300.38083
2019-01-14T11:00:00-05:00,3616.65,3630.98,3671.87,3611,3542.727276,3464.957219,1419.43437
2019-01-14T12:00:00-05:00,3627.71,3616.67,3634.99,3616.67,3548.663155,1963.059255,1451.052505
2019-01-14T13:00:00-05:00,3628.01,3627.45,3647.97,3623.21,3553.617697,1726.870117,1506.653169
2019-01-14T14:00:00-05:00,3638.08,3629.32,3644.22,3623.15,3556.574997,1107.160541,1526.212024
2019-01-14T15:00:00-05:00,3629.45,3638.74,3665,3623.45,3560.469319,1507.930859,1566.213294
2019-01-14T16:00:00-05:00,3623.7,3629.46,3629.46,3590,3562.798389,1446.165233,1586.837162
2019-01-14T17:00:00-05:00,3622.86,3623.02,3633.13,3614.36,3564.303812,852.109899,1575.668158
2019-01-14T18:00:00-05:00,3626.09,3623,3635.99,3620,3565.92296,904.764754,1591.172421
2019-01-14T19:00:00-05:00,3633.22,3626.08,3643.27,3624.22,3633.57,886.705047,1606.019732
2019-01-14T20:00:00-05:00,3633.44,3632.88,3648.42,3631.93,3635.767604,901.142694,1594.107099
2019-01-14T21:00:00-05:00,3624.98,3633.46,3636.97,3623.14,3633.412592,833.865584,1581.967104
2019-01-14T22:00:00-05:00,3629.38,3624.89,3632.07,3623,3632.383124,637.583367,1559.553426
2019-01-14T23:00:00-05:00,3627.19,3629.38,3631.86,3624.83,3631.524526,785.077054,1544.694196
2019-01-15T00:00:00-05:00,3619.43,3627.4,3630.06,3612.48,3629.564427,889.939896,1545.135146
2019-01-15T01:00:00-05:00,3616.81,3619.14,3621.92,3610.12,3626.779246,1309.362526,1536.129365
2019-01-15T02:00:00-05:00,3629.09,3616.03,3629.45,3616.03,3626.487103,1118.748268,1534.646796
2019-01-15T03:00:00-05:00,3624.34,3629.09,3630.43,3616,3626.113105,1091.327945,1517.467456
2019-01-15T04:00:00-05:00,3604.06,3623.64,3625.04,3578.07,3620.527743,2603.260356,1592.900176
2019-01-15T05:00:00-05:00,3610.64,3604.51,3618,3591.02,3618.753483,1608.014451,1625.820049
2019-01-15T06:00:00-05:00,3611.39,3610.56,3617.59,3606.37,3618.235158,1017.478956,1332.776201
2019-01-15T07:00:00-05:00,3602.6,3612.1,3618,3591,3617.121472,1149.622173,1217.009449
2019-01-15T08:00:00-05:00,3624.78,3602.06,3634.75,3600,3617.397804,1675.951607,1202.654066
2019-01-15T09:00:00-05:00,3625.09,3624.96,3626.31,3612.91,3617.734628,1501.964222,1191.408772
2019-01-15T10:00:00-05:00,3596.98,3625.09,3640.77,3580,3615.966624,3168.354473,1294.468468
2019-01-15T11:00:00-05:00,3599.01,3597.31,3610.73,3583.5,3614.718228,1557.843901,1296.96412
2019-01-15T12:00:00-05:00,3602.37,3599.01,3604.5,3592.05,3614.082642,1000.566765,1274.684197
2019-01-15T13:00:00-05:00,3596.98,3602.25,3607.62,3590.5,3613.433556,1022.589069,1283.208155
2019-01-15T14:00:00-05:00,3604.14,3596.96,3605,3589.01,3612.987871,811.118759,1278.525856
2019-01-15T15:00:00-05:00,3532.59,3604.14,3605,3516.62,3603.837965,4462.085756,1457.294891
2019-01-15T16:00:00-05:00,3539.33,3534.42,3550,3524.42,3599.855956,1930.763014,1508.775907
2019-01-15T17:00:00-05:00,3543.97,3539.57,3557.5,3536.05,3598.043301,1109.863839,1522.57582
2019-01-15T18:00:00-05:00,3553.06,3543.97,3565.1,3542.43,3596.654927,1064.767737,1543.935038
2019-01-15T19:00:00-05:00,3561.05,3553.06,3565.47,3543.51,3556.676667,1070.838554,1558.223113
2019-01-15T20:00:00-05:00,3568.74,3561.05,3569.89,3558.34,3560.145848,674.116413,1547.431939
2019-01-15T21:00:00-05:00,3564.83,3567.83,3568.79,3555.38,3561.013483,762.129933,1520.07031
2019-01-15T22:00:00-05:00,3572.5,3564.85,3575.37,3560,3562.827791,703.880532,1499.326923
2019-01-15T23:00:00-05:00,3572.95,3572.55,3583.71,3570.57,3566.822158,1437.677955,1516.644423
2019-01-16T00:00:00-05:00,3578.81,3572.63,3582.53,3570,3568.507801,910.571205,1432.009966
2019-01-16T01:00:00-05:00,3569.93,3578.97,3580.89,3565.5,3568.961439,801.808254,1391.699656
2019-01-16T02:00:00-05:00,3555.07,3570.12,3572,3552.25,3567.799898,920.516591,1386.851538
2019-01-16T03:00:00-05:00,3585,3556.04,3599.99,3553.96,3569.683093,1375.809092,1398.160884
2019-01-16T04:00:00-05:00,3580.63,3585.71,3603.96,3580,3572.750397,1719.166766,1400.321642
2019-01-16T05:00:00-05:00,3585.46,3580.64,3597.62,3580.55,3573.721977,712.24549,1360.835705
2019-01-16T06:00:00-05:00,3589.02,3587.06,3593.85,3583.08,3574.379397,510.838845,1227.959924
2019-01-16T07:00:00-05:00,3611.94,3589.08,3645,3589,3580.601588,2079.265153,1254.030986
2019-01-16T08:00:00-05:00,3592.1,3611.11,3619.4,3574.93,3582.588745,2109.110302,1309.458163
2019-01-16T09:00:00-05:00,3598.21,3592.11,3609.14,3587.11,3583.748637,1271.276094,1321.892514
2019-01-16T10:00:00-05:00,3590.22,3598.23,3612.24,3579,3584.596582,1568.32532,1359.752842
2019-01-16T11:00:00-05:00,3581.57,3591.16,3594.51,3560.2,3584.101422,1726.814007,1222.989255
2019-01-16T12:00:00-05:00,3590.5,3582.01,3592,3581.59,3584.286336,1005.381069,1176.720158
2019-01-16T13:00:00-05:00,3588.75,3590.51,3610,3576.81,3584.776608,1479.794814,1195.216706
2019-01-16T14:00:00-05:00,3576.4,3588.46,3592.16,3561.53,3584.352851,1264.132377,1205.184938
2019-01-16T15:00:00-05:00,3577.91,3576.6,3582.81,3561.81,3583.987505,897.59865,1196.522943
2019-01-16T16:00:00-05:00,3584.29,3577.91,3609,3575.31,3584.253414,1259.127036,1225.773474
2019-01-16T17:00:00-05:00,3579.89,3584.29,3586.29,3576.05,3584.171564,626.97428,1219.015692
2019-01-16T18:00:00-05:00,3591.84,3580.18,3598.98,3578,3584.288806,592.781245,1213.460727
2019-01-16T19:00:00-05:00,3587.73,3591.84,3597.29,3582.08,3589.033333,968.626011,1190.00813
2019-01-16T20:00:00-05:00,3593.46,3587.53,3600.51,3582.99,3590.497374,778.057422,1183.382441
2019-01-16T21:00:00-05:00,3557.4,3593.46,3600,3551.16,3582.379223,1102.69794,1198.426925
2019-01-16T22:00:00-05:00,3574.59,3558.57,3576.64,3556.82,3577.97338,1455.80137,1225.191164
2019-01-16T23:00:00-05:00,3574.78,3574.57,3584.7,3568.17,3577.670711,729.026598,1192.852039
2019-01-17T00:00:00-05:00,3571.56,3573.75,3580.84,3568.16,3577.206386,634.092423,1138.598322
2019-01-17T01:00:00-05:00,3577.22,3571.58,3587.95,3568.19,3577.277157,787.333087,1142.352702
2019-01-17T02:00:00-05:00,3584,3576.64,3584.36,3570,3577.489994,699.825101,1151.802015
2019-01-17T03:00:00-05:00,3581.69,3583.73,3585,3574,3577.743009,727.963239,1084.236919
2019-01-17T04:00:00-05:00,3570.18,3580.76,3582.47,3567,3577.242346,980.439212,1027.803365
